DNA_plate	DNA_well	sid	phylo_entropy	quadratic	unrooted_pd	rooted_pd	bwpd
P7	C1	S579	3.06124	0.866287	119.929	119.929	1.9859
P7	C2	S587	2.99695	0.898	120.939	120.939	2.26995
P7	C3	S595	3.22087	0.824922	140.036	140.036	1.82503
P7	C4	S603	3.39763	0.906599	137.484	137.484	2.05345
P7	C5	S611	3.09673	0.876243	125.545	125.545	2.06872
P7	C6	S619	3.31366	0.969489	120.438	120.438	2.2057
P7	C7	S627	3.45945	0.909049	136.523	136.523	2.0226
P7	C8	S635	3.12728	0.922399	113.891	113.891	2.21207
P7	C9	S643	3.56927	0.938482	142.052	142.052	2.12972
P7	D10	S652	3.07343	0.902131	105.075	105.075	2.11771
P7	D11	S660	3.09241	0.868007	121.785	121.785	2.01176
P7	D12	S668	3.35626	0.961958	106.041	106.041	2.19421
P7	D1	S580	3.43977	0.996418	98.4985	98.4985	2.25027
P7	D2	S588	3.1601	0.930358	108.535	108.535	2.20652
P7	D3	S596	2.80671	0.844826	94.4494	94.4494	2.04087
P7	D4	S604	3.25996	0.894683	134.659	134.659	2.04478
P7	D5	S612	1.68962	0.571417	38.8453	38.8453	1.34129
P7	D6	S620	3.26672	0.955318	112.068	112.068	2.23808
P7	D7	S628	3.20657	0.823874	135.309	135.309	1.87135
P7	D8	S636	3.11604	0.937723	103.854	103.854	2.22112
P7	D9	S644	3.27337	0.948818	117.92	117.92	2.22233
P7	E10	S653	3.34046	0.921538	129.528	129.528	2.06117
P7	E11	S661	3.18787	0.909533	107.038	107.038	2.1228
P7	E12	S669	3.20595	0.891774	126.915	126.915	2.08181
P7	E1	S581	3.55522	1.11765	76.7669	76.7669	2.51506
P7	E2	S589	3.43736	1.03132	100.626	100.626	2.37163
P7	E3	S597	3.45208	1.05228	86.6165	86.6165	2.37459
P7	E4	S605	3.37585	0.944646	136.752	136.752	2.16999
P7	E5	S613	3.31172	0.912703	129.28	129.28	2.08753
P7	E6	S621	3.58048	0.991865	129.719	129.719	2.22866
P7	E7	S629	3.1343	0.810265	137.793	137.793	1.83099
P7	E8	S637	2.9849	0.853339	101.605	101.605	1.96974
P7	E9	S645	3.3802	0.886093	146.486	146.486	2.00528
P7	F10	S654	3.50262	0.962168	124.579	124.579	2.17898
P7	F11	S662	2.85693	0.868966	84.0971	84.0971	2.01151
P7	F12	S670	3.5612	0.996442	135.514	135.514	2.25516
P7	F1	S582	3.20359	0.856172	126.888	126.888	1.96083
P7	F2	S590	3.42091	0.975173	117.55	117.55	2.26825
P7	F3	S598	3.04015	0.844934	108.45	108.45	1.94672
P7	F4	S606	3.02006	0.878649	100.631	100.631	2.01923
P7	F5	S614	3.45135	0.938655	120.291	120.291	2.10729
P7	F6	S622	3.30093	1.00294	93.3849	93.3849	2.27848
P7	F7	S630	3.52037	1.11528	106.727	106.727	2.60113
P7	F8	S638	3.33903	0.915616	119.985	119.985	2.08468
P7	F9	S646	3.50472	1.02422	99.1071	99.1071	2.27373
P7	G10	S655	3.43216	0.92833	129.877	129.877	2.04871
P7	G11	S663	3.49663	0.969068	128.871	128.871	2.24062
P7	G12	S671	3.12434	0.828922	132.925	132.925	1.8889
P7	G1	S583	2.79007	0.777457	107.695	107.695	1.81692
P7	G2	S591	3.26003	0.926718	129.275	129.275	2.14401
P7	G3	S599	3.1616	0.860846	113.673	113.673	1.9497
P7	G4	S607	3.44328	0.920503	143.115	143.115	2.05814
P7	G5	S615	3.194	1.01357	81.8063	81.8063	2.36829
P7	G6	S623	3.27124	0.873038	125.87	125.87	1.98679
P7	G7	S631	3.42253	0.936831	126.265	126.265	2.14268
P7	G8	S639	3.19231	0.929147	122.158	122.158	2.16827
P7	G9	S647	3.12904	0.913708	115.198	115.198	2.05917
P7	H10	S656	3.2448	0.956902	102.287	102.287	2.187
P7	H11	S664	2.9995	0.843422	114.263	114.263	1.94865
P7	H12	S672	3.38048	0.976702	118.588	118.588	2.26491
P7	H1	S584	3.21087	0.918912	118.286	118.286	2.16139
P7	H2	S592	2.94901	0.790023	114.542	114.542	1.81096
P7	H3	S600	3.02722	0.869615	110.511	110.511	2.06421
P7	H4	S608	3.58855	0.984438	126.536	126.536	2.20927
P7	H5	S616	2.89262	0.795983	114.28	114.28	1.85294
P7	H6	S624	3.24784	0.860697	124.913	124.913	1.93375
P7	H7	S632	3.341	0.934176	132.457	132.457	2.13573
P7	H8	S640	3.21699	0.932232	115.334	115.334	2.12194
P7	H9	S648	3.36821	0.952045	121.916	121.916	2.20286
P8	A10	S745	3.31977	0.88634	144.262	144.262	1.99111
P8	A11	S753	3.57295	0.922093	138.732	138.732	2.03629
P8	A12	S761	3.37514	1.01644	97.2799	97.2799	2.28441
P8	A1	S673	3.12279	0.922619	106.01	106.01	2.14912
P8	A2	S681	3.50817	1.0008	130.929	130.929	2.26621
P8	A3	S689	3.12868	0.879282	121.243	121.243	2.06209
P8	A4	S697	3.36924	0.894426	140.648	140.648	2.03543
P8	A5	S705	3.15651	0.912746	103.597	103.597	2.12614
P8	A6	S713	3.15279	0.885417	119.832	119.832	2.03388
P8	A7	S721	3.01091	0.914044	112.176	112.176	2.38913
P8	A8	S729	3.26713	0.951459	102.492	102.492	2.15985
P8	A9	S737	3.32664	0.896456	128.765	128.765	2.02437
P8	B10	S746	3.40131	0.877845	153.764	153.764	1.9427
